"Label","001BLA","001BLU","001BRO","001GRA","001GRE","001NON","001ORA","001PIN","001PUR","001RED","001WHI","001YEL","002BLA","002BLU","002BRO","002GRA","002GRE","002NON","002ORA","002PIN","002PUR","002RED","002WHI","002x","002X","002YEL","003BLA","003BLU","003BRO","003GRA","003GRE","003NON","003ORA","003PIN","003PUR","003RED","003WHI","003YEL","1Stars","2Bands","2Color","2Stars","3+Star","3Bands","3Color","4+Band","4Color","5+Color","7celtic","Animal","arabic","Artifact","balkan","Bloemfontein","BLU","bnd_001WHI","bnd_002BLU","bnd_003WHI","bnd_BLA","bnd_BLU","bnd_BLUE","bnd_BRO","bnd_BRORA","bnd_E YEL","bnd_GR","bnd_GRA","bnd_GRE","bnd_GREEN","bnd_NON","bnd_ORA","bnd_PIN","bnd_PUR","bnd_PURED","bnd_RED","bnd_RED YEL","bnd_WHI","bnd_WHIÇ","bnd_WHITE","bnd_X","bnd_YEL","bnd_YELLOW","bolivarian","Border","bricss","Builds","calendar","Canton","Center","Center,hascoa,Quartr","centered_items","Checkd","chines","chopGB","Circle","cl_BLA","cl_BLU","cl_BRO","cl_GRA","cl_GRA; BLA","cl_GRE","cl_ORA","cl_PIN","cl_PUR","cl_RED","cl_WHI","cl_YEL","Crosse","Crown","Crowns","cur_dollar","cur_Dollar","cur_EUR","dgband","dutchs","Egually","englis","eunion","femalepm","Fleurss","french","geo_CapiBeach","Geogrh","german","hascoa","HasSta","HasSun","HasSun,","Horizo","Humans","island","IsMoon","italia","kokomo","landlo","locate_MI","md_acreed123","md_deno_e","md_deno_i","md_deno_n","md_deno_vw","md_egal","md_egl","md_eqtor","md_insblack","md_insblue","md_insgreen","md_insred","md_inswhite","md_insyellow","md_lien","md_lightbl","md_lio","md_lion","md_LOTRNation","md_slavi","md_stun_bla","md_stun_blu","md_stun_gre","md_stun_red","md_stun_whi","md_stun_yel","md_tekken7","md_Trblac","md_Trbluu","md_Trredd","md_Trwht","mercosr","monarchy","myrBLA","myrBLU","myrBRO","myrEQ","myrGRA","myrGRA, BLA","myrGRE","myrORA","myrPIN","myrPUR","myrRED","myrWHI","myrYEL","nn_berr","nn_buddha","nn_eaxorth","nn_mikro","nn_mikro,","nn_slavi","NoBand","noeuni","nolrgcrs","Nordic","NoStar","notlargecrs","ntBLYE","ntGRRE","ntGRYE","ntWHRE","ntWHYE","OnlyBa","orinoc","Plants","pol_2025Gaz","pol_3lan","pol_buddha","pol_chess","pol_CopaAM","pol_deat","pol_failed","pol_jwsh","pol_Nuclear","pol_poblo","pol_pope","pol_rgby","pol_samesx","pol_tours","pol_txhaven","pol_wcwin","portug","Quartr","Radial","rg2_AF_East","rg2_AF_Mid","rg2_AF_North","rg2_AF_South","rg2_AF_West","rg2_AM_Central","rg2_AM_North","rg2_AM_South","rg2_AS_Central","rg2_AS_East","rg2_AS_SouthEast","rg2_As_SouthOnly","rg2_AS_West","rg2_EU_East","rg2_EU_North","rg2_EU_South","rg2_EU_West","rg2_Na_Caribbean","rg2_OC_AUNZ","rg2_OC_Melanesia","rg2_OC_Micronesia","rg2_Oc_Polynesia","rg3_austrohungary","rg3_romanempire","Rotate","Ships","Ships!","southc","soviet","spanis","staBLA","staBLU","staBRO","staGRA","staGRE","staORA","staPIN","staPUR","staRED","staWHI","staYEL","terr_all","terr_brit","terr_fren","terr_neth","terr_us","Texted","top10_airlines","top10_ping","top10_reindeer","top30_camel","top30_oil","Trside","unjack","Vertic","Weapon","WHI","won_egl","won_lio","won_lioEgually","Zigzaw"
"001BLA",206,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,11,41,1,1,1,40,39,0,0,22,27,14,1,2,46,1,3,0,3,38,33,38,17,54,39,2,14,99,67,53,58,42,1,48,18,2,2,0,0,0,0,0,206,30,0,4,0,0,0,7,68,0,1,9,3,5,0,86,0,91,0,0,0,74,0,5,2,9,23,15,14,76,0,0,1,0,58,48,206,46,16,16,0,81,17,5,6,114,140,113,26,0,15,0,19,77,21,38,31,49,88,14,2,34,2,13,61,30,33,12,0,128,5,2,9,6,0,4,1,0,1,0,10,1,0,2,2,0,1,0,0,3,3,2,2,0,0,0,5,1,1,0,1,0,0,1,0,1,3,0,7,60,37,3,1,113,0,0,9,0,0,0,16,10,17,37,0,6,2,0,18,0,18,0,0,173,0,0,1,1,1,4,65,0,37,3,2,0,1,0,4,1,2,0,0,2,0,2,1,0,1,2,1,3,13,0,3,2,4,0,3,10,0,0,0,15,16,18,11,3,72,6,5,8,0,2,0,33,5,0,3,3,8,11,2,1,0,0,0,0,0,0,7,20,7,5,0,1,0,4,25,0,1,0,2,0,22,0,60,13,0,27,26,0,18
"001BLU",0,1228,0,0,0,0,0,0,0,0,0,0,10,65,7,4,67,203,7,4,3,78,392,1,1,198,26,409,15,6,238,4,12,7,8,229,128,146,127,313,178,20,152,636,341,278,248,457,0,319,25,14,45,0,0,0,0,0,53,1227,0,24,0,1,1,11,332,0,13,29,15,15,0,361,0,644,0,0,1,398,0,109,5,93,200,31,116,482,0,0,10,1,243,303,532,1228,169,145,0,512,101,39,41,632,938,808,137,0,110,0,207,285,121,161,135,277,380,152,45,168,21,194,118,203,299,130,0,799,118,17,50,22,3,11,2,2,3,2,29,9,0,5,1,11,0,6,5,10,13,9,17,2,0,1,100,0,10,0,4,5,0,3,1,0,2,3,143,266,4,510,6,437,2,0,46,3,5,0,59,90,66,72,14,203,11,0,280,1,242,5,1,929,0,9,7,8,3,11,257,2,307,3,2,0,3,1,2,4,2,2,1,3,1,8,2,2,2,33,0,23,27,12,6,15,11,63,140,171,6,6,25,2,17,275,61,59,216,33,12,13,10,4,3,161,64,0,43,11,205,226,48,26,3,5,1,4,0,1,32,141,121,27,1,5,4,15,238,1,3,1,2,2,80,3,356,121,0,148,201,1,184
"001BRO",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,5,0,0,1,1,2,3,0,5,0,1,0,0,0,0,3,0,5,0,0,3,10,3,1,4,9,0,3,1,0,0,0,0,0,0,0,1,2,0,16,1,0,0,0,9,0,0,1,0,0,0,0,0,5,0,0,0,5,0,2,0,1,4,2,0,7,0,0,0,0,8,6,8,8,16,1,0,11,8,1,1,5,13,12,2,0,3,0,7,0,1,2,2,10,0,3,0,1,0,7,0,3,3,1,0,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,7,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,3,2,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,6,0,0,0,0,0,1,0,6,0,0,3,0,0,3
"001GRA",0,0,0,23,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,7,0,0,1,0,3,0,6,7,0,0,1,0,5,0,1,0,9,2,0,3,6,8,8,5,8,0,2,0,0,2,0,0,0,0,0,3,8,0,0,0,0,0,23,9,0,0,0,3,1,0,5,0,9,0,0,0,4,0,1,1,1,3,1,1,9,0,0,0,0,2,2,13,12,1,22,0,11,0,2,2,10,14,8,1,0,1,0,1,6,3,0,1,2,11,5,0,0,0,4,0,4,3,2,0,15,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,8,0,1,0,0,0,2,1,0,1,0,1,0,0,3,0,0,0,0,20,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,4,6,1,0,0,0,0,0,0,0,1,2,0,1,0,5,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1,0,3,0,0,2
"001GRE",0,0,0,0,584,0,0,0,0,0,0,0,15,33,4,4,17,91,6,1,1,38,199,0,0,94,27,92,4,2,170,1,8,7,13,117,70,72,62,139,85,10,64,327,168,118,125,206,1,122,17,10,12,0,0,0,0,0,53,141,0,9,0,0,0,10,583,0,7,16,9,14,0,167,0,314,0,0,0,191,0,97,2,67,65,35,49,220,0,0,2,2,107,127,262,247,95,79,0,584,57,21,28,276,444,360,64,0,38,0,87,120,66,60,71,148,143,77,9,83,14,85,50,95,136,43,0,347,51,5,17,16,1,4,1,4,7,1,18,8,0,2,3,5,3,0,2,4,6,4,6,1,0,0,20,1,1,2,4,4,1,3,1,1,4,1,100,106,5,22,1,246,2,0,216,2,1,1,22,27,39,30,5,54,4,0,76,0,68,3,1,448,0,4,13,7,3,7,163,0,159,2,3,0,0,0,4,1,0,0,3,3,0,3,3,1,1,38,0,9,36,11,4,7,17,34,34,136,3,5,7,10,10,73,38,25,69,28,3,6,5,3,1,68,26,0,13,4,67,164,22,9,2,1,4,1,0,0,17,54,48,29,0,6,0,22,117,0,0,0,8,5,40,1,188,62,0,53,84,0,66
"001NON",0,0,0,0,0,152,0,0,0,0,0,0,0,2,0,0,0,140,0,0,0,0,8,0,0,1,0,0,0,0,0,147,0,0,0,2,1,1,5,87,41,1,3,11,45,51,25,41,0,29,0,1,3,0,0,0,0,0,16,61,0,1,0,0,0,3,14,0,1,4,3,3,0,71,0,71,0,0,0,36,0,1,6,2,5,2,25,54,0,0,2,1,25,27,68,103,13,15,0,36,10,4,5,105,122,85,121,0,11,0,24,70,44,45,13,39,76,19,10,43,0,6,31,33,9,5,0,116,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,2,30,0,21,2,0,6,0,0,0,23,45,23,6,0,4,0,0,9,3,28,0,31,143,0,0,0,0,0,0,55,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,0,0,0,11,3,0,1,0,1,1,8,30,9,56,7,3,0,0,0,0,45,30,0,3,1,9,6,3,0,0,1,0,1,0,0,0,5,2,11,2,0,1,0,10,0,0,0,0,0,28,3,109,11,0,11,19,0,21
"001ORA",0,0,0,0,0,0,60,0,0,0,0,0,4,2,2,0,2,5,1,0,0,2,30,0,0,1,3,23,0,1,18,0,7,1,3,0,1,3,2,13,7,3,4,38,19,9,14,20,0,15,3,0,0,0,0,0,0,0,8,26,0,2,0,0,0,1,22,0,2,59,1,3,0,3,0,34,0,0,0,7,0,2,1,7,8,5,1,30,0,0,0,0,25,22,28,35,9,3,0,29,60,3,2,11,48,17,2,0,3,0,20,10,4,5,3,33,8,7,1,2,0,13,4,6,9,11,0,45,7,0,2,2,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,33,0,0,1,16,1,0,1,3,2,5,0,1,0,0,1,0,5,0,0,51,0,0,0,0,0,0,16,0,16,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,2,4,5,13,4,0,0,0,4,1,1,4,2,6,3,0,0,3,0,0,4,4,0,2,1,1,12,2,1,0,0,0,0,0,0,0,6,0,3,0,0,0,3,23,0,0,0,2,1,5,0,12,6,0,9,7,0,5
"001PIN",0,0,0,0,0,0,0,29,0,0,0,0,0,2,0,1,4,4,0,1,4,0,6,0,0,3,1,12,0,1,3,0,0,7,3,0,0,2,1,4,3,0,0,13,14,12,4,8,0,1,0,1,0,0,0,0,0,0,3,17,0,0,0,0,0,4,8,0,0,2,29,11,0,1,0,9,0,0,0,7,0,0,0,1,0,0,1,8,0,0,0,0,1,4,7,19,1,4,0,10,3,26,11,2,15,13,3,0,0,0,0,0,0,0,0,1,0,10,0,0,0,3,0,2,1,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,14,0,0,2,0,9,1,0,0,0,0,0,11,0,0,11,0,11,0,0,28,0,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4,3,0,0,1,0,1
"001PUR",0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,1,5,0,0,1,5,7,0,0,4,2,3,0,1,4,0,2,1,8,1,4,3,0,9,5,0,2,14,11,6,2,11,0,5,0,0,2,0,0,0,0,0,2,5,0,0,0,0,0,2,6,0,2,3,2,29,0,7,0,13,0,0,0,8,0,3,1,0,7,2,3,8,0,0,0,0,8,8,10,11,4,5,0,14,4,3,29,10,20,16,2,0,3,0,7,7,0,2,2,10,8,2,0,3,0,5,1,4,2,3,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,16,0,0,0,1,0,8,1,2,1,2,2,0,0,0,2,0,1,0,0,27,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,3,0,0,2,0,1,1,3,2,2,1,0,0,1,0,0,4,2,0,1,0,1,6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,7,0,0,0,0,0,1,0,10,3,0,3,2,0,4
"001RED",0,0,0,0,0,0,0,0,0,974,0,0,18,80,1,5,37,170,5,1,2,65,303,0,0,110,61,193,2,4,125,2,7,1,26,321,142,86,90,261,164,16,100,469,251,243,233,326,0,283,34,15,48,1,0,0,0,0,104,324,0,3,0,0,0,9,198,0,13,36,2,28,1,970,1,557,0,0,0,269,0,65,5,73,126,50,102,347,0,0,10,3,159,218,498,472,91,99,0,334,88,13,38,974,756,584,140,0,113,1,112,286,70,158,101,168,409,97,32,149,24,94,151,186,206,72,0,701,78,9,31,27,1,12,8,4,4,6,32,12,0,4,2,9,1,6,0,4,13,4,5,2,0,2,66,1,5,2,4,2,1,6,2,1,0,1,70,226,13,53,1,363,0,0,21,3,0,1,351,126,42,85,14,120,9,1,233,1,169,2,1,768,1,9,16,5,3,8,239,6,189,12,6,1,5,3,13,4,2,1,3,5,3,8,5,5,2,17,2,15,19,8,8,6,17,33,60,91,11,5,16,10,35,213,47,69,232,21,3,7,12,16,4,171,54,0,29,4,130,137,36,10,0,2,9,3,0,0,36,96,73,32,1,11,7,9,143,2,1,3,8,10,50,6,258,104,0,140,181,0,121
